Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan%
29/05/2026;770;795;795;765;152,49M;-3,14%
26/05/2026;795;810;815;790;31,53M;-1,85%
25/05/2026;810;810;820;800;35,73M;1,25%
22/05/2026;800;805;810;790;41,43M;-1,23%
21/05/2026;810;830;840;805;50,68M;-2,41%
20/05/2026;830;830;845;815;60,10M;-0,60%
19/05/2026;835;840;845;820;41,13M;-0,60%
18/05/2026;840;850;850;815;70,06M;-1,18%
13/05/2026;850;865;875;850;57,66M;-2,30%
12/05/2026;870;890;900;855;104,10M;-2,25%
11/05/2026;890;925;935;885;107,45M;-3,26%
08/05/2026;920;900;930;880;140,03M;2,22%
07/05/2026;900;885;905;885;111,63M;4,05%
06/05/2026;865;855;870;855;30,33M;1,76%
05/05/2026;850;865;875;850;48,08M;-1,73%
04/05/2026;865;875;880;855;53,27M;0,00%
30/04/2026;865;880;890;860;55,35M;-1,14%
29/04/2026;875;885;890;870;51,24M;-1,13%
28/04/2026;885;875;885;865;56,89M;1,14%
27/04/2026;875;875;895;860;70,63M;0,00%
24/04/2026;875;910;915;860;96,85M;-3,85%
23/04/2026;910;940;945;905;68,70M;-3,19%
22/04/2026;940;945;950;940;30,44M;0,00%
21/04/2026;940;935;945;935;41,52M;0,53%
20/04/2026;935;965;970;935;66,06M;-2,60%
17/04/2026;960;975;980;960;37,10M;-1,54%
16/04/2026;975;995;1000;975;29,57M;-1,52%
15/04/2026;990;985;1005;980;75,92M;1,02%
14/04/2026;980;995;1000;975;31,07M;0,00%
13/04/2026;980;985;995;975;22,64M;-0,51%
10/04/2026;985;980;1000;970;45,88M;0,51%
09/04/2026;980;980;985;965;28,82M;-0,51%
08/04/2026;985;970;985;955;47,74M;3,68%
07/04/2026;950;960;965;940;28,11M;-1,04%
06/04/2026;960;970;975;955;17,61M;-1,03%
02/04/2026;970;985;990;965;17,97M;-1,02%
01/04/2026;980;990;1000;975;21,83M;1,03%
31/03/2026;970;950;1000;950;69,20M;3,19%
30/03/2026;940;950;955;935;40,69M;-2,08%
27/03/2026;960;985;985;950;38,42M;-2,54%
26/03/2026;985;1000;1005;970;33,14M;-1,01%
25/03/2026;995;1000;1005;980;39,18M;1,02%
17/03/2026;985;990;1020;985;55,95M;1,55%
16/03/2026;970;965;985;960;32,18M;0,52%
13/03/2026;965;1000;1000;965;32,28M;-3,50%
12/03/2026;1000;1000;1020;985;41,17M;0,00%
11/03/2026;1000;1010;1015;995;37,51M;0,00%
10/03/2026;1000;1000;1015;1000;33,21M;0,50%
09/03/2026;995;1000;1005;970;87,46M;-2,93%
06/03/2026;1025;1035;1040;1010;30,08M;-1,44%
05/03/2026;1040;1025;1050;1025;52,40M;2,46%
04/03/2026;1015;1040;1040;1005;71,68M;-1,93%
03/03/2026;1035;1050;1070;1035;66,04M;-1,43%
02/03/2026;1050;1070;1075;1050;52,04M;-4,55%
27/02/2026;1100;1085;1105;1075;36,61M;2,33%
26/02/2026;1075;1115;1115;1075;62,74M;-3,59%
25/02/2026;1115;1075;1115;1070;78,71M;5,19%
24/02/2026;1060;1090;1090;1055;64,92M;-1,85%
23/02/2026;1080;1060;1095;1055;68,61M;2,37%
20/02/2026;1055;1070;1080;1055;72,62M;-2,31%
19/02/2026;1080;1085;1095;1080;24,20M;0,00%
18/02/2026;1080;1090;1090;1075;35,27M;0,00%
13/02/2026;1080;1095;1100;1080;50,57M;-1,82%
12/02/2026;1100;1105;1110;1095;42,55M;-0,45%
11/02/2026;1105;1110;1110;1095;32,64M;-0,45%
10/02/2026;1110;1095;1110;1090;44,58M;0,45%
09/02/2026;1105;1130;1130;1090;33,06M;-1,34%
06/02/2026;1120;1115;1130;1105;33,93M;0,45%
05/02/2026;1115;1140;1160;1115;44,41M;-2,19%
04/02/2026;1140;1160;1160;1135;45,10M;-0,87%
03/02/2026;1150;1145;1170;1125;44,69M;0,88%
02/02/2026;1140;1145;1155;1125;81,33M;-0,44%
30/01/2026;1145;1095;1150;1090;82,36M;5,53%
29/01/2026;1085;1085;1105;1010;90,05M;-1,36%
28/01/2026;1100;1110;1130;1070;84,67M;-3,08%
27/01/2026;1135;1185;1185;1110;111,93M;-3,81%
26/01/2026;1180;1220;1220;1180;54,91M;-3,28%
23/01/2026;1220;1225;1230;1205;40,39M;-0,41%
22/01/2026;1225;1205;1230;1200;68,06M;2,08%
21/01/2026;1200;1195;1200;1180;45,02M;0,84%
20/01/2026;1190;1205;1210;1190;63,11M;-2,06%
19/01/2026;1215;1215;1235;1200;59,03M;0,83%
15/01/2026;1205;1230;1245;1200;62,82M;-2,03%
14/01/2026;1230;1230;1245;1210;45,70M;0,00%
13/01/2026;1230;1230;1230;1210;39,39M;0,82%
12/01/2026;1220;1190;1235;1190;60,84M;2,95%
09/01/2026;1185;1200;1200;1180;19,87M;-0,42%
08/01/2026;1190;1195;1210;1185;40,19M;-0,42%
07/01/2026;1195;1195;1210;1180;66,58M;0,00%
06/01/2026;1195;1225;1225;1195;56,14M;-2,45%
05/01/2026;1225;1215;1240;1205;46,52M;1,66%
