Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
09/02/2026;1105;1130;1130;1090;30810000;-1,34%
06/02/2026;1120;1115;1130;1105;33930000;0,45%
05/02/2026;1115;1140;1160;1115;44410000;-2,19%
04/02/2026;1140;1160;1160;1135;45100000;-0,87%
03/02/2026;1150;1145;1170;1125;44690000;0,88%
02/02/2026;1140;1145;1155;1125;81330000;-0,44%
30/01/2026;1145;1095;1150;1090;82360000;5,53%
29/01/2026;1085;1085;1105;1010;90050000;-1,36%
28/01/2026;1100;1110;1130;1070;84670000;-3,08%
27/01/2026;1135;1185;1185;1110;111930000;-3,81%
26/01/2026;1180;1220;1220;1180;54910000;-3,28%
23/01/2026;1220;1225;1230;1205;40390000;-0,41%
22/01/2026;1225;1205;1230;1200;68060000;2,08%
21/01/2026;1200;1195;1200;1180;45020000;0,84%
20/01/2026;1190;1205;1210;1190;63110000;-2,06%
19/01/2026;1215;1215;1235;1200;59030000;0,83%
15/01/2026;1205;1230;1245;1200;62820000;-2,03%
14/01/2026;1230;1230;1245;1210;45700000;0,00%
13/01/2026;1230;1230;1230;1210;39390000;0,82%
12/01/2026;1220;1190;1235;1190;60840000;2,95%
09/01/2026;1185;1200;1200;1180;19870000;-0,42%
08/01/2026;1190;1195;1210;1185;40190000;-0,42%
07/01/2026;1195;1195;1210;1180;66580000;0,00%
06/01/2026;1195;1225;1225;1195;56140000;-2,45%
05/01/2026;1225;1215;1240;1205;46520000;1,66%
02/01/2026;1205;1215;1235;1190;33530000;0,00%
30/12/2025;1205;1230;1230;1200;29400000;-2,03%
29/12/2025;1230;1215;1240;1195;45960000;1,65%
24/12/2025;1210;1195;1230;1195;40220000;-0,41%
23/12/2025;1215;1215;1220;1195;33590000;-0,82%
22/12/2025;1225;1210;1225;1200;38200000;2,08%
19/12/2025;1200;1225;1230;1200;59200000;-2,04%
18/12/2025;1225;1215;1255;1210;88740000;0,00%
17/12/2025;1225;1205;1225;1200;67930000;2,08%
16/12/2025;1200;1225;1225;1175;84030000;-1,64%
15/12/2025;1220;1175;1230;1165;143420000;5,17%
12/12/2025;1160;1155;1170;1130;40490000;2,20%
11/12/2025;1135;1160;1170;1135;61060000;-3,40%
10/12/2025;1175;1170;1180;1160;76710000;0,43%
09/12/2025;1170;1200;1200;1155;128670000;-1,68%
08/12/2025;1190;1175;1195;1160;85060000;2,59%
05/12/2025;1160;1190;1195;1155;66760000;-2,52%
04/12/2025;1190;1185;1205;1160;117890000;1,28%
03/12/2025;1175;1150;1185;1140;159370000;3,07%
02/12/2025;1140;1200;1205;1115;376500000;-5,39%
01/12/2025;1205;1200;1220;1190;55450000;0,42%
28/11/2025;1200;1230;1240;1200;102880000;-2,04%
27/11/2025;1225;1255;1260;1220;118870000;-2,39%
26/11/2025;1255;1235;1280;1225;156910000;2,03%
25/11/2025;1230;1180;1240;1175;382400000;5,13%
24/11/2025;1170;1200;1220;1170;1980000000;-3,31%
21/11/2025;1210;1200;1230;1190;130150000;0,00%
20/11/2025;1210;1230;1245;1200;91580000;-1,63%
19/11/2025;1230;1200;1245;1195;152790000;4,24%
18/11/2025;1180;1225;1235;1180;127790000;-3,67%
17/11/2025;1225;1235;1255;1225;50260000;-0,81%
14/11/2025;1235;1290;1295;1230;80370000;-3,89%
13/11/2025;1285;1280;1295;1275;36070000;1,58%
12/11/2025;1265;1285;1310;1265;46610000;-1,56%
11/11/2025;1285;1290;1290;1250;51420000;1,18%
10/11/2025;1270;1280;1295;1270;55430000;0,40%
07/11/2025;1265;1255;1300;1255;103740000;1,20%
06/11/2025;1250;1295;1310;1250;148220000;-5,30%
05/11/2025;1320;1225;1320;1215;113130000;7,76%
04/11/2025;1225;1240;1260;1200;82250000;-2,00%
03/11/2025;1250;1275;1295;1245;47090000;-1,96%
31/10/2025;1275;1315;1325;1245;77520000;-3,04%
30/10/2025;1315;1320;1340;1300;51260000;-0,75%
29/10/2025;1325;1335;1340;1310;49670000;-0,38%
28/10/2025;1330;1290;1345;1275;131080000;4,31%
27/10/2025;1275;1240;1290;1220;147020000;4,08%
24/10/2025;1225;1185;1285;1185;136370000;3,38%
23/10/2025;1185;1165;1210;1165;42040000;0,42%
22/10/2025;1180;1200;1215;1180;47980000;-3,28%
21/10/2025;1220;1230;1230;1190;61680000;1,67%
20/10/2025;1200;1200;1225;1165;102940000;0,84%
17/10/2025;1190;1190;1190;1140;92120000;0,00%
16/10/2025;1190;1100;1190;1095;144770000;9,68%
