Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Volume;Perubahan%
09/02/2026;525;525;530;520;6970000;0,00%
06/02/2026;525;525;525;515;10630000;0,00%
05/02/2026;525;525;530;525;10510000;0,00%
04/02/2026;525;520;535;520;10310000;0,96%
03/02/2026;520;515;525;515;10700000;0,97%
02/02/2026;515;530;530;510;27140000;-1,90%
30/01/2026;525;520;530;520;10360000;0,96%
29/01/2026;520;520;530;490;36780000;0,00%
28/01/2026;520;535;535;510;35780000;-3,70%
27/01/2026;540;535;540;530;14010000;0,93%
26/01/2026;535;540;540;535;10360000;0,00%
23/01/2026;535;540;540;535;11960000;-0,93%
22/01/2026;540;540;540;535;11670000;0,00%
21/01/2026;540;540;540;530;17170000;0,00%
20/01/2026;540;550;550;540;24430000;-1,82%
19/01/2026;550;545;550;540;14650000;1,85%
15/01/2026;540;545;550;535;22980000;-0,92%
14/01/2026;545;540;550;535;22710000;0,93%
13/01/2026;540;540;545;535;12920000;0,00%
12/01/2026;540;550;550;535;24190000;-1,82%
09/01/2026;550;550;555;545;10910000;0,00%
08/01/2026;550;550;555;545;14360000;0,00%
07/01/2026;550;550;550;545;11860000;0,92%
06/01/2026;545;550;555;545;10340000;0,00%
05/01/2026;545;540;550;530;26220000;0,93%
02/01/2026;540;545;545;535;7070000;0,00%
30/12/2025;540;540;550;535;18440000;0,93%
29/12/2025;535;540;545;535;13930000;-0,93%
24/12/2025;540;540;545;535;8770000;-0,92%
23/12/2025;545;545;550;540;7020000;0,00%
22/12/2025;545;555;555;540;14310000;-1,80%
19/12/2025;555;540;555;540;21970000;2,78%
18/12/2025;540;555;555;540;19900000;-2,70%
17/12/2025;555;555;555;550;14200000;0,91%
16/12/2025;550;555;555;545;22590000;0,00%
15/12/2025;550;535;555;535;40700000;3,77%
12/12/2025;530;530;530;525;7240000;0,95%
11/12/2025;525;535;535;525;10370000;-0,94%
10/12/2025;530;540;540;530;10680000;-0,93%
09/12/2025;535;540;545;535;13890000;-0,93%
08/12/2025;540;540;540;535;9030000;0,93%
05/12/2025;535;540;545;535;6760000;-0,93%
04/12/2025;540;540;545;535;9180000;0,00%
03/12/2025;540;545;550;540;11350000;-0,92%
02/12/2025;545;540;545;540;11380000;0,93%
01/12/2025;540;540;545;535;11540000;-0,92%
28/11/2025;545;550;550;545;12940000;-0,91%
27/11/2025;550;555;555;545;8520000;-0,90%
26/11/2025;555;550;555;545;6880000;0,91%
25/11/2025;550;550;550;545;8040000;0,00%
24/11/2025;550;550;550;540;24600000;0,00%
21/11/2025;550;555;555;545;8190000;-0,90%
20/11/2025;555;550;555;545;19260000;0,91%
19/11/2025;550;550;555;550;7330000;0,00%
18/11/2025;550;560;565;550;12610000;-1,79%
17/11/2025;560;565;565;555;16310000;-0,88%
14/11/2025;565;570;570;560;12500000;0,00%
13/11/2025;565;560;570;550;27670000;0,89%
12/11/2025;560;555;560;550;23610000;0,90%
11/11/2025;555;550;555;545;34880000;-1,77%
10/11/2025;565;570;570;560;42900000;0,00%
07/11/2025;565;575;575;560;28110000;-1,74%
06/11/2025;575;580;580;570;17440000;-0,86%
05/11/2025;580;575;580;570;18910000;0,87%
04/11/2025;575;575;585;575;19490000;0,00%
03/11/2025;575;560;580;560;23590000;2,68%
31/10/2025;560;570;575;560;31920000;-0,88%
30/10/2025;565;575;575;565;13490000;-1,74%
