Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Volume;Perubahan%
09/02/2026;3180;3190;3450;3030;1860000;4,95%
06/02/2026;3030;2680;3230;2670;2240000;13,91%
05/02/2026;2660;2930;2930;2520;669600;-9,52%
04/02/2026;2940;2820;3500;2820;3500000;5,00%
03/02/2026;2800;2600;2800;2570;901300;25,00%
02/02/2026;2240;2230;2240;1780;495200;24,79%
30/01/2026;1795;1825;1860;1780;238300;0,00%
29/01/2026;1795;2070;2430;1780;895100;-14,11%
28/01/2026;2090;2120;2290;2090;92800;-14,69%
27/01/2026;2450;2670;2670;2260;184000;-6,84%
26/01/2026;2630;2750;2890;2600;240700;-4,36%
23/01/2026;2750;2690;3260;2620;1450000;4,96%
22/01/2026;2620;2970;3000;2580;183200;-11,78%
21/01/2026;2970;3130;3170;2910;250900;-0,67%
20/01/2026;2990;3050;3200;2990;569100;-1,97%
19/01/2026;3050;3380;3400;2880;1460000;-9,76%
15/01/2026;3380;3950;4010;3210;2890000;5,30%
14/01/2026;3210;3010;3210;3010;387700;24,90%
13/01/2026;2570;2100;2570;2060;1630000;24,76%
12/01/2026;2060;2060;2060;1665;1350000;24,85%
09/01/2026;1650;1550;1650;1540;1240000;25,00%
08/01/2026;1320;1300;1330;1300;127000;1,54%
07/01/2026;1300;1495;1495;1295;916700;-13,62%
06/01/2026;1505;1480;1520;1480;313800;2,38%
05/01/2026;1470;1445;1535;1440;319700;1,73%
02/01/2026;1445;1370;1445;1370;365800;5,47%
30/12/2025;1370;1385;1385;1340;150800;2,24%
29/12/2025;1340;1455;1455;1310;331000;-2,90%
24/12/2025;1380;1350;1610;1215;1020000;6,98%
23/12/2025;1290;1295;1295;1245;74400;-0,39%
22/12/2025;1295;1315;1315;1285;18200;-1,52%
19/12/2025;1315;1320;1350;1280;47100;-0,38%
18/12/2025;1320;1355;1355;1310;38100;-2,22%
17/12/2025;1350;1345;1410;1320;39300;0,37%
16/12/2025;1345;1390;1400;1345;23300;2,28%
15/12/2025;1315;1380;1385;1300;123900;-5,05%
12/12/2025;1385;1390;1420;1360;134100;-0,72%
11/12/2025;1395;1395;1405;1350;62800;0,00%
10/12/2025;1395;1420;1420;1385;85700;-1,76%
09/12/2025;1420;1415;1475;1405;200100;0,00%
08/12/2025;1420;1450;1450;1400;154100;-2,07%
05/12/2025;1450;1500;1500;1400;137200;-3,01%
04/12/2025;1495;1405;1610;1400;454200;6,79%
03/12/2025;1400;1335;1495;1300;241600;4,87%
02/12/2025;1335;1375;1375;1300;87400;-3,61%
01/12/2025;1385;1465;1465;1375;90400;-5,46%
28/11/2025;1465;1525;1550;1450;80800;-3,30%
27/11/2025;1515;1545;1625;1400;281300;-2,26%
26/11/2025;1550;1600;1895;1500;530100;-2,82%
25/11/2025;1595;1930;2250;1585;2310000;-14,25%
24/11/2025;1860;1860;1860;1860;194800;9,73%
21/11/2025;1695;1695;1695;1695;190700;9,71%
20/11/2025;1545;1505;1545;1505;168000;9,96%
19/11/2025;1405;1490;1500;1395;194000;-6,02%
18/11/2025;1495;1660;1660;1495;206000;-9,94%
17/11/2025;1660;1660;1660;1660;32200;-9,78%
14/11/2025;1840;1840;1840;1840;95800;-9,80%
28/10/2025;2040;1930;2040;1925;708700;24,77%
24/10/2025;1635;1425;1635;1425;525900;24,81%
23/10/2025;1310;1100;1310;1100;476100;24,76%
22/10/2025;1050;1170;1170;1050;123600;-10,26%
21/10/2025;1170;1195;1195;1025;108700;-2,09%
20/10/2025;1195;1215;1250;1130;89800;-1,65%
17/10/2025;1215;1185;1285;1110;312400;2,53%
